neighbourhood_id,neighbourhood,neighbourhood_group,precinct,precinct_danger,precinct_danger_normalized
173,Rockaway Beach,Queens,100,23.728535,0.0200276369756974
15,Fieldston,Bronx,50,8.614011,0.0072704987987107
205,New Brighton,Staten Island,120,10.948355,0.009240759255515
159,Jamaica Hills,Queens,107,13.471718,0.0113705577501084
37,Soundview,Bronx,43,18.345335,0.0154840452466853
24,Morris Park,Bronx,49,23.728535,0.0200276369756974
190,Clifton,Staten Island,120,10.948355,0.009240759255515
40,Tremont,Bronx,46,10.948355,0.009240759255515
23,Morris Heights,Bronx,46,13.525995,0.0114163692615283
154,Holliswood,Queens,107,10.948355,0.009240759255515
155,Howard Beach,Queens,106,16.154471,0.0136348864657018
47,Williamsbridge,Bronx,47,8.614011,0.0072704987987107
203,Mariners Harbor,Staten Island,121,14.177345,0.0119661293433926
30,Olinville,Bronx,52,14.619977000000002,0.0123397248059792
28,North Riverdale,Bronx,50,14.619977000000002,0.0123397248059792
140,Corona,Queens,110,3.529445,0.0029789636480166
39,Throgs Neck,Bronx,45,13.471718,0.0113705577501084
207,New Dorp Beach,Staten Island,122,16.154471,0.0136348864657018
85,Navy Yard,Brooklyn,84,5.780506999999999,0.0048789314524254
26,Mount Eden,Bronx,44,13.525995,0.0114163692615283
191,Concord,Staten Island,120,14.619977000000002,0.0123397248059792
187,Castleton Corners,Staten Island,121,3.529445,0.0029789636480166
65,Coney Island,Brooklyn,60,16.154471,0.0136348864657018
42,University Heights,Bronx,46,13.471718,0.0113705577501084
197,Grant City,Staten Island,122,14.17311,0.0119625548689216
35,Riverdale,Bronx,50,14.17311,0.0119625548689216
209,Oakwood,Staten Island,122,14.177345,0.0119661293433926
215,Richmondtown,Staten Island,122,25.036492000000003,0.021131594214348
201,Huguenot,Staten Island,123,13.525995,0.0114163692615283
182,Arden Heights,Staten Island,123,14.177345,0.0119661293433926
220,South Beach,Staten Island,122,4.630844000000001,0.0039085793759744
200,Howland Hook,Staten Island,121,7.413696,0.0062573948259418
208,New Springville,Staten Island,121,7.413696,0.0062573948259418
146,Far Rockaway,Queens,101,8.681868999999999,0.0073277731053586
219,Silver Lake,Staten Island,120,8.681868999999999,0.0073277731053586
12,Eastchester,Bronx,47,8.681868999999999,0.0073277731053586
10,Co-op City,Bronx,45,4.630844000000001,0.0039085793759744
202,Lighthouse Hill,Staten Island,122,8.681868999999999,0.0073277731053586
204,Midland Beach,Staten Island,122,18.629612,0.0157239840611355
142,Douglaston,Queens,111,18.629612,0.0157239840611355
132,Bayswater,Queens,101,7.413696,0.0062573948259418
225,Tottenville,Staten Island,123,4.630844000000001,0.0039085793759744
179,Whitestone,Queens,109,18.629612,0.0157239840611355
82,Manhattan Beach,Brooklyn,61,7.413696,0.0062573948259418
192,Dongan Hills,Staten Island,122,8.681868999999999,0.0073277731053586
53,Bergen Beach,Brooklyn,63,7.413696,0.0062573948259418
